SLOVENIJA;114438
Ajdovšèina;1004
Ankaran/Ancarano;262
Apaèe;31
Beltinci;82
Benedikt;31
Bistrica ob Sotli;21
Bled;350
Bloke;23
Bohinj;176
Borovnica;147
Bovec;148
Braslovèe;100
Brda;107
Brezovica;410
Brežice;1188
Cankova;8
Celje;4963
Cerklje na Gorenjskem;252
Cerknica;591
Cerkno;59
Cerkvenjak;65
Cirkulane;165
Èrenšovci;36
Èrna na Koroškem;51
Èrnomelj;546
Destrnik;18
Divaèa;322
Dobje;4
Dobrepolje;97
Dobrna;27
Dobrova - Polhov Gradec;100
Dobrovnik/Dobronak;18
Dol pri Ljubljani;132
Dolenjske Toplice;72
Domžale;1793
Dornava;32
Dravograd;305
Duplek;64
Gorenja vas - Poljane;106
Gorišnica;78
Gorje;58
Gornja Radgona;107
Gornji Grad;29
Gornji Petrovci;14
Grad;13
Grosuplje;1313
Hajdina;93
Hoèe - Slivnica;547
Hodoš/Hodos;5
Horjul;26
Hrastnik;454
Hrpelje - Kozina;374
Idrija;616
Ig;317
Ilirska Bistrica;545
Ivanèna Gorica;603
Izola/Isola;1828
Jesenice;1776
Jezersko;14
Juršinci;21
Kamnik;1557
Kanal;126
Kidrièevo;137
Kobarid;98
Kobilje;5
Koèevje;618
Komen;83
Komenda;261
Koper/Capodistria;5094
Kostanjevica na Krki;18
Kostel;28
Kozje;36
Kranj;4332
Kranjska Gora;132
Križevci;49
Krško;1895
Kungota;107
Kuzma;19
Laško;243
Lenart;112
Lendava/Lendva;485
Litija;618
Ljubljana;27489
Ljubno;61
Ljutomer;160
Log - Dragomer;107
Logatec;692
Loška dolina;340
Loški Potok;40
Lovrenc na Pohorju;22
Luèe;27
Lukovica;103
Majšperk;88
Makole;8
Maribor;8895
Markovci;61
Medvode;823
Mengeš;381
Metlika;476
Mežica;239
Miklavž na Dravskem polju;267
Miren - Kostanjevica;169
Mirna;60
Mirna Peè;25
Mislinja;40
Mokronog - Trebelno;46
Moravèe;62
Moravske Toplice;80
Mozirje;92
Murska Sobota;356
Muta;26
Naklo;163
Nazarje;91
Nova Gorica;2416
Novo mesto;2355
Odranci;8
Oplotnica;33
Ormož;170
Osilnica;28
Pesnica;155
Piran/Pirano;1699
Pivka;322
Podèetrtek;97
Podlehnik;116
Podvelka;23
Poljèane;79
Polzela;177
Postojna;1496
Prebold;147
Preddvor;68
Prevalje;327
Ptuj;1179
Puconci;50
Raèe - Fram;166
Radeèe;84
Radenci;76
Radlje ob Dravi;238
Radovljica;593
Ravne na Koroškem;595
Razkrižje;38
Reèica ob Savinji;91
Renèe - Vogrsko;198
Ribnica;328
Ribnica na Pohorju;11
Rogaška Slatina;767
Rogašovci;23
Rogatec;217
Ruše;211
Selnica ob Dravi;59
Semiè;124
Sevnica;800
Sežana;1614
Slovenj Gradec;461
Slovenska Bistrica;948
Slovenske Konjice;855
Sodražica;38
Solèava;0
Središèe ob Dravi;48
Starše;50
Straža;140
Sveta Ana;19
Sveta Trojica v Slov. goricah;16
Sveti Andraž v Slov. goricah;3
Sveti Jurij ob Šèavnici;27
Sveti Jurij v Slov. goricah;9
Sveti Tomaž;10
Šalovci;17
Šempeter - Vrtojba;468
Šenèur;330
Šentilj;120
Šentjernej;138
Šentjur;331
Šentrupert;27
Škocjan;45
Škofja Loka;983
Škofljica;544
Šmarje pri Jelšah;157
Šmarješke Toplice;57
Šmartno ob Paki;69
Šmartno pri Litiji;58
Šoštanj;572
Štore;262
Tabor;19
Tišina;25
Tolmin;493
Trbovlje;788
Trebnje;714
Trnovska vas;8
Trzin;154
Tržiè;547
Turnišèe;41
Velenje;2968
Velika Polana;9
Velike Lašèe;80
Veržej;14
Videm;176
Vipava;204
Vitanje;67
Vodice;92
Vojnik;153
Vransko;33
Vrhnika;1021
Vuzenica;30
Zagorje ob Savi;416
Zavrè;483
Zreèe;262
Žalec;1126
Železniki;111
Žetale;10
Žiri;54
Žirovnica;46
Žužemberk;35
